test,subject,stimulus,result,section,signal_type,source,stimulus_signal
test_1,10,Passive,64,1,drums,horizontal,Passive_drums
test_1,11,Passive,28,1,drums,horizontal,Passive_drums
test_1,12,Passive,41,1,drums,horizontal,Passive_drums
test_1,13,Passive,38,1,drums,horizontal,Passive_drums
test_1,14,Passive,9,1,drums,horizontal,Passive_drums
test_1,15,Passive,20,1,drums,horizontal,Passive_drums
test_1,17,Passive,40,1,drums,horizontal,Passive_drums
test_1,18,Passive,52,1,drums,horizontal,Passive_drums
test_1,19,Passive,47,1,drums,horizontal,Passive_drums
test_1,1,Passive,28,1,drums,horizontal,Passive_drums
test_1,20,Passive,71,1,drums,horizontal,Passive_drums
test_1,2,Passive,29,1,drums,horizontal,Passive_drums
test_1,3,Passive,72,1,drums,horizontal,Passive_drums
test_1,4,Passive,71,1,drums,horizontal,Passive_drums
test_1,5,Passive,68,1,drums,horizontal,Passive_drums
test_1,6,Passive,52,1,drums,horizontal,Passive_drums
test_1,7,Passive,46,1,drums,horizontal,Passive_drums
test_1,8,Passive,83,1,drums,horizontal,Passive_drums
test_1,9,Passive,75,1,drums,horizontal,Passive_drums
test_1,10,Anchor,34,1,drums,horizontal,Anchor_drums
test_1,11,Anchor,0,1,drums,horizontal,Anchor_drums
test_1,12,Anchor,0,1,drums,horizontal,Anchor_drums
test_1,13,Anchor,10,1,drums,horizontal,Anchor_drums
test_1,14,Anchor,0,1,drums,horizontal,Anchor_drums
test_1,15,Anchor,0,1,drums,horizontal,Anchor_drums
test_1,17,Anchor,0,1,drums,horizontal,Anchor_drums
test_1,18,Anchor,21,1,drums,horizontal,Anchor_drums
test_1,19,Anchor,23,1,drums,horizontal,Anchor_drums
test_1,1,Anchor,12,1,drums,horizontal,Anchor_drums
test_1,20,Anchor,0,1,drums,horizontal,Anchor_drums
test_1,2,Anchor,12,1,drums,horizontal,Anchor_drums
test_1,3,Anchor,43,1,drums,horizontal,Anchor_drums
test_1,4,Anchor,33,1,drums,horizontal,Anchor_drums
test_1,5,Anchor,32,1,drums,horizontal,Anchor_drums
test_1,6,Anchor,31,1,drums,horizontal,Anchor_drums
test_1,7,Anchor,31,1,drums,horizontal,Anchor_drums
test_1,8,Anchor,35,1,drums,horizontal,Anchor_drums
test_1,9,Anchor,49,1,drums,horizontal,Anchor_drums
test_1,10,Hybrid,87,1,drums,horizontal,Hybrid_drums
test_1,11,Hybrid,84,1,drums,horizontal,Hybrid_drums
test_1,12,Hybrid,97,1,drums,horizontal,Hybrid_drums
test_1,13,Hybrid,69,1,drums,horizontal,Hybrid_drums
test_1,14,Hybrid,69,1,drums,horizontal,Hybrid_drums
test_1,15,Hybrid,61,1,drums,horizontal,Hybrid_drums
test_1,17,Hybrid,51,1,drums,horizontal,Hybrid_drums
test_1,18,Hybrid,89,1,drums,horizontal,Hybrid_drums
test_1,19,Hybrid,89,1,drums,horizontal,Hybrid_drums
test_1,1,Hybrid,80,1,drums,horizontal,Hybrid_drums
test_1,20,Hybrid,80,1,drums,horizontal,Hybrid_drums
test_1,2,Hybrid,51,1,drums,horizontal,Hybrid_drums
test_1,3,Hybrid,100,1,drums,horizontal,Hybrid_drums
test_1,4,Hybrid,75,1,drums,horizontal,Hybrid_drums
test_1,5,Hybrid,84,1,drums,horizontal,Hybrid_drums
test_1,6,Hybrid,95,1,drums,horizontal,Hybrid_drums
test_1,7,Hybrid,75,1,drums,horizontal,Hybrid_drums
test_1,8,Hybrid,85,1,drums,horizontal,Hybrid_drums
test_1,9,Hybrid,88,1,drums,horizontal,Hybrid_drums
test_1,10,Active,87,1,drums,horizontal,Active_drums
test_1,11,Active,85,1,drums,horizontal,Active_drums
test_1,12,Active,97,1,drums,horizontal,Active_drums
test_1,13,Active,94,1,drums,horizontal,Active_drums
test_1,14,Active,93,1,drums,horizontal,Active_drums
test_1,15,Active,80,1,drums,horizontal,Active_drums
test_1,17,Active,56,1,drums,horizontal,Active_drums
test_1,18,Active,88,1,drums,horizontal,Active_drums
test_1,19,Active,75,1,drums,horizontal,Active_drums
test_1,1,Active,89,1,drums,horizontal,Active_drums
test_1,20,Active,80,1,drums,horizontal,Active_drums
test_1,2,Active,51,1,drums,horizontal,Active_drums
test_1,3,Active,74,1,drums,horizontal,Active_drums
test_1,4,Active,77,1,drums,horizontal,Active_drums
test_1,5,Active,95,1,drums,horizontal,Active_drums
test_1,6,Active,99,1,drums,horizontal,Active_drums
test_1,7,Active,94,1,drums,horizontal,Active_drums
test_1,8,Active,91,1,drums,horizontal,Active_drums
test_1,9,Active,80,1,drums,horizontal,Active_drums
test_1,10,Reference,100,1,drums,horizontal,Reference_drums
test_1,11,Reference,100,1,drums,horizontal,Reference_drums
test_1,12,Reference,100,1,drums,horizontal,Reference_drums
test_1,13,Reference,100,1,drums,horizontal,Reference_drums
test_1,14,Reference,100,1,drums,horizontal,Reference_drums
test_1,15,Reference,100,1,drums,horizontal,Reference_drums
test_1,17,Reference,100,1,drums,horizontal,Reference_drums
test_1,18,Reference,100,1,drums,horizontal,Reference_drums
test_1,19,Reference,100,1,drums,horizontal,Reference_drums
test_1,1,Reference,100,1,drums,horizontal,Reference_drums
test_1,20,Reference,100,1,drums,horizontal,Reference_drums
test_1,2,Reference,100,1,drums,horizontal,Reference_drums
test_1,3,Reference,100,1,drums,horizontal,Reference_drums
test_1,4,Reference,100,1,drums,horizontal,Reference_drums
test_1,5,Reference,100,1,drums,horizontal,Reference_drums
test_1,6,Reference,100,1,drums,horizontal,Reference_drums
test_1,7,Reference,100,1,drums,horizontal,Reference_drums
test_1,8,Reference,100,1,drums,horizontal,Reference_drums
test_1,9,Reference,100,1,drums,horizontal,Reference_drums
